-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ar II   |   3001.320 |       | 4  | 1.5e+00   | D    
Ar III  |   3006.097 |       | 1  | 4.3e-10   | D    
Ar III  |   3010.90  |    10 | _  |           |      
Ar III  |   3024.861 |    12 | 7  | 2.6e+00   | D    
Ar III  |   3027.967 |       | 5  | 6.4e-01   | D-   
        |            |       |    |           |      
Ar II   |   3029.796 |       | 4  | 2.3e+00   | D    
Ar II   |   3034.391 |    50 | 4  | 9.9e-02   | B    
Ar III  |   3037.759 |       | 3  | 7.0e-02   | E    
Ar IV   |   3038.77  |     6 | 4  | 3.6e-01   | E    
Ar III  |   3055.662 |    12 | 5  | 1.9e+00   | D    
        |            |       |    |           |      
Ar III  |   3065.634 |    10 | 3  | 1.0e+00   | D-   
Ar IV   |   3078.29  |     8 | _  |           |      
Ar III  |   3079.024 |    10 | 3  | 1.4e+00   | D-   
Ar II   |   3094.300 |    50 | 6  | 4.4e+00   | D    
Ar III  |   3110.077 |       | 1  | 4.02e-08  | C    
        |            |       |    |           |      
Ar III  |   3111.31  |     7 | _  |           |      
Ar III  |   3128.81  |     7 | _  |           |      
Ar II   |   3139.927 |       | 6  | 5.2e-01   | C    
Ar II   |   3147.338 |       | 8  | 3e-03     | D-   
Ar II   |   3162.288 |       | 4  | 1.8e+00   | D-   
        |            |       |    |           |      
Ar II   |   3170.585 |       | 6  | 4.9e-01   | C    
Ar II   |   3181.957 |       | 4  | 3.7e-01   | C    
Ar II   |   3195.154 |       | 4  | 2.4e-01   | D-   
Ar I    |   3201.29  |     8 | _  |           |      
Ar II   |   3205.247 |       | 4  | 4e-01     | D    
        |            |       |    |           |      
Ar II   |   3213.446 |       | 4  | 5.2e-02   | C    
Ar II   |   3222.555 |       | 6  | 1.8e-02   | C    
Ar II   |   3226.906 |       | 4  | 2.1e-02   | C    
Ar II   |   3237.745 |       | 4  | 5.2e-01   | D    
Ar II   |   3244.624 |    20 | 2  | 1.056e+0  | C    
        |            |       |    |           |      
Ar II   |   3250.737 |       | 4  | 6.3e-01   | C    
Ar II   |   3254.857 |       | 6  | 9e-03     | C    
Ar II   |   3264.512 |       | 4  | 1.55e-01  | B-   
Ar II   |   3274.261 |       | 2  | 3.7e-01   | D    
Ar II   |   3282.647 |       | 2  | 4.2e-01   | C    
        |            |       |    |           |      
Ar III  |   3286.788 |    25 | 7  | 2.0e+00   | D    
Ar II   |   3294.589 |    25 | 4  | 1.7e+00   | D    
Ar III  |   3302.806 |    20 | 5  | 2.0e+00   | D    
Ar II   |   3308.180 |    20 | 2  | 3.4e+00   | D    
