----------------------------------------------------
Spec. | Wavelength | Rel. | gk | Aki       | Acc  
      |   Vacuum   | Int. |    | (10^8s-1) |      
      |    (A)     |      |    |           |      
----------------------------------------------------
He I  |  3014.6    |   40 | _  |           |      
He I  |  3188.6549 |      | 1  | 5.05e-02  | B'   
He I  |  3188.6662 |  20* | 3  | 5.05e-02  | B'   
He I  |  3188.6671 |  20* | 5  | 5.05e-02  | B'   
He II |  3203.89   |    3 | _  |           |      
      |            |      |    |           |      
He II |  3204.03   |   15 | _  |           |      
He I  |  3232.198  |      | 3  | 4.90e-03  | B    
He I  |  3259.214  |      | 3  | 6.50e-03  | B    
He I  |  3297.7222 |      | 3  | 9.01e-03  | B    
He I  |  3355.5190 |    1 | 3  | 1.30e-02  | B    
      |            |      |    |           |      
He I  |  3448.5768 |    2 | 3  | 2.39e-02  | A    
He I  |  3555.428  |      | 3  | 3.64e-04  | A'   
He I  |  3555.428  |      | 5  | 3.27e-03  | A'   
He I  |  3555.428  |      | 7  | 1.31e-02  | A'   
He I  |  3555.438  |      | 3  | 5.46e-03  | A'   
      |            |      |    |           |      
He I  |  3555.438  |      | 5  | 9.83e-03  | A'   
He I  |  3555.562  |      | 3  | 7.28e-03  | A'   
He I  |  3563.994  |      | 3  | 3.02e-03  | B'   
He I  |  3564.004  |      | 3  | 1.81e-03  | B'   
He I  |  3564.129  |      | 3  | 6.03e-04  | B'   
      |            |      |    |           |      
He I  |  3588.292  |   1* | 3  | 5.69e-04  | C+'  
He I  |  3588.292  |   1* | 5  | 5.13e-03  | C+'  
He I  |  3588.292  |   1* | 7  | 2.05e-02  | C+'  
He I  |  3588.302  |      | 3  | 8.54e-03  | C+'  
He I  |  3588.302  |      | 5  | 1.54e-02  | C+'  
      |            |      |    |           |      
He I  |  3588.429  |      | 3  | 1.14e-02  | C+'  
He I  |  3614.6725 |    3 | 3  | 3.76e-02  | B    
He I  |  3635.2667 |   2* | 3  | 7.25e-04  | A'   
He I  |  3635.2670 |   2* | 5  | 6.52e-03  | A'   
He I  |  3635.2670 |   2* | 7  | 2.61e-02  | A'   
      |            |      |    |           |      
He I  |  3635.2768 |      | 3  | 1.09e-02  | A'   
He I  |  3635.2771 |      | 5  | 1.96e-02  | A'   
He I  |  3635.4073 |      | 3  | 1.45e-02  | A'   
He I  |  3653.0220 |      | 3  | 6.00e-03  | B'   
He I  |  3653.0322 |      | 3  | 3.60e-03  | B'   
      |            |      |    |           |      
He I  |  3653.1641 |      | 3  | 1.20e-03  | B'   
He I  |  3706.0495 |   3* | 3  | 1.23e-03  | C+'  
He I  |  3706.0500 |   3* | 5  | 1.11e-02  | C+'  
He I  |  3706.0500 |   3* | 7  | 4.44e-02  | C+'  
He I  |  3706.0600 |      | 3  | 1.85e-02  | C+'  
