------------------------------------------------
Spec.  | Wavelength |   Rel. | gk | Aki       
       |   Vacuum   |   Int. |    | (10^8s-1) 
       |    (A)     |        |    |           
------------------------------------------------
Kr III |   3023.18  |     50 | _  |           
Kr III |   3025.33  |     80 | _  |           
Kr III |   3047.82  |     50 | _  |           
Kr III |   3057.61  |     30 | _  |           
Kr III |   3064.02  |     60 | _  |           
       |            |        |    |           
Kr III |   3098.06  |     40 | _  |           
Kr III |   3113.15  |     60 | _  |           
Kr III |   3121.51  |     30 | _  |           
Kr III |   3125.30  |    100 | _  |           
Kr III |   3142.26  |     60 | _  |           
       |            |        |    |           
Kr IV  |   3142.92  |      3 | _  |           
Kr III |   3190.03  |    100 | _  |           
Kr III |   3192.13  |     80 | _  |           
Kr IV  |   3225.92  |      6 | _  |           
Kr III |   3240.45  |     40 | _  |           
       |            |        |    |           
Kr III |   3241.38  |     40 | _  |           
Kr III |   3246.63  |    300 | _  |           
Kr IV  |   3262.64  |      3 | _  |           
Kr III |   3265.75  |    150 | _  |           
Kr III |   3269.42  |    100 | _  |           
       |            |        |    |           
Kr III |   3272.59  |     30 | _  |           
Kr III |   3286.84  |     30 | _  |           
Kr III |   3305.70  |     30 | _  |           
Kr III |   3312.42  |     50 | _  |           
Kr III |   3326.71  |    200 | _  |           
       |            |        |    |           
Kr III |   3331.72  |     60 | _  |           
Kr III |   3343.44  |     50 | _  |           
Kr III |   3352.89  |    100 | _  |           
Kr III |   3375.93  |     40 | _  |           
Kr III |   3440.45  |    100 | _  |           
       |            |        |    |           
Kr III |   3475.64  |     70 | _  |           
Kr III |   3489.59  |    100 | _  |           
Kr III |   3508.42  |    200 | _  |           
Kr III |   3565.25  |    100 | _  |           
Kr II  |   3608.91  |   100w | _  |           
       |            |        |    |           
Kr II  |   3632.924 |    200 | _  |           
Kr III |   3642.38  |     30 | _  |           
Kr II  |   3654.969 |    250 | _  |           
Kr I   |   3666.368 |     80 | _  |           
Kr II  |   3670.05  |    150 | _  |           
       |            |        |    |           
Kr I   |   3680.607 |    100 | _  |           
Kr II  |   3687.231 |     80 | _  |           
Kr III |   3691.70  |     30 | _  |           
Kr II  |   3719.08  |   300w | _  |           
Kr II  |   3719.653 |    200 | _  |           
       |            |        |    |           
Kr II  |   3722.408 |    150 | _  |           
Kr II  |   3742.702 |    200 | _  |           
Kr II  |   3745.86  |    150 | _  |           
Kr II  |   3755.312 |     80 | _  |           
Kr II  |   3779.162 |    500 | _  |           
       |            |        |    |           
Kr II  |   3784.169 |    500 | _  |           
Kr IV  |   3810.38  |      3 | _  |           
Kr IV  |   3861.67  |      5 | _  |           
Kr III |   3869.80  |    40w | _  |           
Kr II  |   3876.54  |   150w | _  |           
       |            |        |    |           
Kr II  |   3907.283 |    150 | _  |           
