-------------------------------------------------------
Spec.   | Wavelength |  Rel. | gk | Aki       | Acc  
        |   Vacuum   |  Int. |    | (10^8s-1) |      
        |    (A)     |       |    |           |      
-------------------------------------------------------
Ne II   |  3002.543  |   150 | 4  | 8.7e-01   | D    
Ne I    |  3013.0131 |    33 | 5  |           |      
Ne I    |  3013.8389 |    35 | 3  |           |      
Ne II   |  3016.588  |       | 2  | 1.3e-02   | D    
Ne II   |  3018.190  |  120p | 4  | 3.5e-01   | D    
        |            |       |    |           |      
Ne I    |  3018.2350 |    13 | 5  |           |      
Ne I    |  3027.8040 |    8* | 5  |           |      
Ne I    |  3027.8052 |    8* | 7  |           |      
Ne II   |  3027.898  |   300 | 6  | 1.4e+00   | D    
Ne I    |  3029.3101 |    2* | 5  |           |      
        |            |       |    |           |      
Ne I    |  3029.3112 |    2* | 3  |           |      
Ne II   |  3029.582  |       | 2  | 8.5e-01   | D    
Ne II   |  3029.745  |   300 | 4  | 4.7e-01   | D    
Ne I    |  3031.2053 |    12 | 3  |           |      
Ne II   |  3031.67   |   100 | _  |           |      
        |            |       |    |           |      
Ne II   |  3035.346  |   120 | 8  | 3.1e+00   | D    
Ne II   |  3036.80   |   100 | _  |           |      
Ne II   |  3038.604  |   100 | 4  | 2.1e+00   | D    
Ne II   |  3040.47   |   100 | _  |           |      
Ne II   |  3044.98   |   100 | _  |           |      
        |            |       |    |           |      
Ne II   |  3046.442  |   100 | 2  | 2.5e+00   | D    
Ne I    |  3046.8372 |     7 | 3  |           |      
Ne II   |  3048.444  |   120 | 6  | 1.8e+00   | D    
Ne II   |  3055.23   |   100 | _  |           |      
Ne II   |  3055.564  |   100 | 4  | 9.4e-01   | D    
        |            |       |    |           |      
Ne I    |  3058.2797 |   300 | 1  |           |      
Ne II   |  3060.00   |   100 | _  |           |      
Ne II   |  3063.38   |   100 | _  |           |      
Ne II   |  3064.19   |   100 | _  |           |      
Ne I    |  3064.5871 |    16 | 3  |           |      
        |            |       |    |           |      
Ne I    |  3066.5638 |     3 | 5  |           |      
Ne I    |  3068.1086 |   14* | 5  |           |      
Ne I    |  3068.1098 |   14* | 3  |           |      
Ne II   |  3071.78   |   100 | _  |           |      
Ne II   |  3072.42   |   100 | _  |           |      
        |            |       |    |           |      
Ne II   |  3076.62   |   100 | _  |           |      
Ne I    |  3077.8700 |    33 | 5  |           |      
Ne I    |  3079.7734 |    13 | 3  |           |      
Ne I    |  3080.0745 |    12 | 3  |           |      
Ne II   |  3089.07   |   120 | _  |           |      
        |            |       |    |           |      
Ne II   |  3092.99   |   100 | _  |           |      
Ne II   |  3093.799  |   120 | 6  | 1.3e+00   | D    
Ne II   |  3094.91   |   100 | _  |           |      
Ne II   |  3096.00   |   100 | _  |           |      
