-----------------------------------------------
Spec.  | Wavelength |  Rel. | gk | Aki       
       |   Vacuum   |  Int. |    | (10^8s-1) 
       |    (A)     |       |    |           
-----------------------------------------------
Xe III |   3005.13  |    30 | _  |           
Xe II  |   3018.31  |  100w | _  |           
Xe III |   3024.69  |   100 | _  |           
Xe III |   3084.4   |    40 | _  |           
Xe III |   3092.0   |    50 | _  |           
       |            |       |    |           
Xe III |   3107.36  |    30 | _  |           
Xe II  |   3129.78  |   300 | _  |           
Xe III |   3139.2   |  100w | _  |           
Xe III |   3151.73  |   80c | _  |           
Xe III |   3186.1   |    40 | _  |           
       |            |       |    |           
Xe III |   3243.80  |   100 | _  |           
Xe III |   3269.92  |    80 | _  |           
Xe III |   3288.77  |    30 | _  |           
Xe III |   3302.50  |   80w | _  |           
Xe III |   3332.6   |    40 | _  |           
       |            |       |    |           
Xe III |   3359.0   |    30 | _  |           
Xe II  |   3367.69  |  200w | _  |           
Xe III |   3385.09  |    80 | _  |           
Xe I   |   3401.05  |     2 | _  |           
Xe I   |   3419.35  |     2 | _  |           
       |            |       |    |           
Xe I   |   3420.98  |     2 | _  |           
Xe I   |   3443.65  |     3 | _  |           
Xe III |   3445.2   |    60 | _  |           
Xe III |   3455.2   |    70 | _  |           
Xe III |   3459.7   |  100w | _  |           
       |            |       |    |           
Xe II  |   3462.25  |  100w | _  |           
Xe III |   3469.21  |    40 | _  |           
Xe I   |   3470.80  |     4 | _  |           
Xe I   |   3473.35  |     4 | _  |           
Xe I   |   3507.74  |     5 | _  |           
       |            |       |    |           
Xe III |   3523.84  |    80 | _  |           
Xe III |   3543.3   |    50 | _  |           
Xe I   |   3550.87  |    10 | _  |           
Xe III |   3553.1   |    50 | _  |           
Xe I   |   3555.06  |    10 | _  |           
       |            |       |    |           
Xe III |   3562.4   |    40 | _  |           
Xe III |   3580.7   |   100 | _  |           
Xe III |   3584.6   |    80 | _  |           
Xe III |   3596.4   |  100w | _  |           
Xe III |   3607.09  |   100 | _  |           
       |            |       |    |           
Xe III |   3608.0   |    40 | _  |           
Xe I   |   3611.35  |    15 | _  |           
Xe I   |   3614.09  |     8 | _  |           
Xe III |   3616.9   |  100w | _  |           
Xe III |   3624.1   |    40 | _  |           
       |            |       |    |           
Xe III |   3625.11  |   600 | _  |           
Xe I   |   3634.10  |     6 | _  |           
Xe I   |   3670.96  |    10 | _  |           
Xe III |   3677.72  |    50 | _  |           
Xe I   |   3686.95  |    40 | _  |           
       |            |       |    |           
Xe I   |   3694.54  |    40 | _  |           
Xe III |   3777.4   |    40 | _  |           
Xe III |   3782.09  |   300 | _  |           
Xe III |   3842.6   |   100 | _  |           
Xe III |   3878.9   |   200 | _  |           
       |            |       |    |           
Xe III |   3881.6   |    60 | _  |           
