# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## xmask ymask | Alpha-tanx tany
-408.57142  -22.44898 -0.2424801 -0.8607901
-401.14285  -22.44898 -0.2379881 -0.8608646
-393.71427  -22.44898 -0.2334972 -0.8609374
-386.28570  -22.44898 -0.2290075 -0.8610086
-378.85713  -22.44898 -0.2245188 -0.8610781
-371.42856  -22.44898 -0.2200311 -0.8611459
-363.99999  -22.44898 -0.2155445 -0.8612120
-356.57142  -22.44898 -0.2110589 -0.8612765
-349.14285  -22.44898 -0.2065743 -0.8613394
-341.71428  -22.44898 -0.2020907 -0.8614006
-334.28571  -22.44898 -0.1976081 -0.8614601
-326.85713  -22.44898 -0.1931264 -0.8615180
-319.42856  -22.44898 -0.1886456 -0.8615742
-311.99999  -22.44898 -0.1841657 -0.8616288
-304.57142  -22.44898 -0.1796867 -0.8616817
-297.14285  -22.44898 -0.1752086 -0.8617330
-289.71428  -22.44898 -0.1707313 -0.8617827
-282.28571  -22.44898 -0.1662549 -0.8618307
-274.85714  -22.44898 -0.1617792 -0.8618771
-267.42856  -22.44898 -0.1573044 -0.8619218
-259.99999  -22.44898 -0.1528303 -0.8619650
-252.57142  -22.44898 -0.1483570 -0.8620064
-245.14285  -22.44898 -0.1438844 -0.8620463
-237.71428  -22.44898 -0.1394125 -0.8620845
-230.28571  -22.44898 -0.1349413 -0.8621211
-222.85714  -22.44898 -0.1304707 -0.8621561
-215.42857  -22.44898 -0.1260008 -0.8621894
-207.99999  -22.44898 -0.1215316 -0.8622211
-200.57142  -22.44898 -0.1170629 -0.8622512
-193.14285  -22.44898 -0.1125948 -0.8622797
-185.71428  -22.44898 -0.1081273 -0.8623066
-178.28571  -22.44898 -0.1036603 -0.8623318
-170.85714  -22.44898 -0.0991938 -0.8623555
-163.42857  -22.44898 -0.0947279 -0.8623775
-156.00000  -22.44898 -0.0902624 -0.8623979
-148.57142  -22.44898 -0.0857973 -0.8624166
-141.14285  -22.44898 -0.0813327 -0.8624338
-133.71428  -22.44898 -0.0768685 -0.8624494
-126.28571  -22.44898 -0.0724047 -0.8624633
-118.85714  -22.44898 -0.0679413 -0.8624757
-111.42857  -22.44898 -0.0634782 -0.8624864
-104.00000  -22.44898 -0.0590154 -0.8624955
 -96.57143  -22.44898 -0.0545530 -0.8625030
 -89.14285  -22.44898 -0.0500908 -0.8625089
 -81.71428  -22.44898 -0.0456288 -0.8625132
 -74.28571  -22.44898 -0.0411671 -0.8625159
 -66.85714  -22.44898 -0.0367057 -0.8625170
 -59.42857  -22.44898 -0.0322444 -0.8625165
 -52.00000  -22.44898 -0.0277832 -0.8625144
 -44.57143  -22.44898 -0.0233223 -0.8625106
 -37.14286  -22.44898 -0.0188614 -0.8625053
 -29.71428  -22.44898 -0.0144007 -0.8624983
 -22.28571  -22.44898 -0.0099400 -0.8624898
 -14.85714  -22.44898 -0.0054794 -0.8624797
  -7.42857  -22.44898 -0.0010188 -0.8624679
   0.00000  -22.44898  0.0034418 -0.8624545
   7.42857  -22.44898  0.0079024 -0.8624396
  14.85714  -22.44898  0.0123630 -0.8624230
  22.28571  -22.44898  0.0168237 -0.8624048
  29.71428  -22.44898  0.0212844 -0.8623851
  37.14286  -22.44898  0.0257453 -0.8623637
  44.57143  -22.44898  0.0302062 -0.8623407
  52.00000  -22.44898  0.0346673 -0.8623161
  59.42857  -22.44898  0.0391286 -0.8622899
  66.85714  -22.44898  0.0435901 -0.8622621
  74.28571  -22.44898  0.0480518 -0.8622327
  81.71428  -22.44898  0.0525137 -0.8622017
  89.14285  -22.44898  0.0569759 -0.8621690
  96.57143  -22.44898  0.0614383 -0.8621348
 104.00000  -22.44898  0.0659011 -0.8620990
 111.42857  -22.44898  0.0703641 -0.8620615
 118.85714  -22.44898  0.0748275 -0.8620224
 126.28571  -22.44898  0.0792913 -0.8619818
 133.71428  -22.44898  0.0837555 -0.8619395
 141.14285  -22.44898  0.0882201 -0.8618956
 148.57142  -22.44898  0.0926851 -0.8618501
 156.00000  -22.44898  0.0971506 -0.8618029
 163.42857  -22.44898  0.1016165 -0.8617542
 170.85714  -22.44898  0.1060829 -0.8617038
 178.28571  -22.44898  0.1105499 -0.8616518
 185.71428  -22.44898  0.1150174 -0.8615982
 193.14285  -22.44898  0.1194854 -0.8615430
 200.57142  -22.44898  0.1239541 -0.8614861
 207.99999  -22.44898  0.1284233 -0.8614276
 215.42857  -22.44898  0.1328932 -0.8613675
 222.85714  -22.44898  0.1373637 -0.8613058
 230.28571  -22.44898  0.1418349 -0.8612424
 237.71428  -22.44898  0.1463067 -0.8611774
 245.14285  -22.44898  0.1507793 -0.8611108
 252.57142  -22.44898  0.1552526 -0.8610425
 259.99999  -22.44898  0.1597267 -0.8609727
 267.42856  -22.44898  0.1642015 -0.8609011
 274.85714  -22.44898  0.1686771 -0.8608279
 282.28571  -22.44898  0.1731535 -0.8607531
 289.71428  -22.44898  0.1776308 -0.8606767
 297.14285  -22.44898  0.1821089 -0.8605986
 304.57142  -22.44898  0.1865878 -0.8605188
 311.99999  -22.44898  0.1910677 -0.8604374
 319.42856  -22.44898  0.1955485 -0.8603544
 326.85713  -22.44898  0.2000301 -0.8602697
 334.28571  -22.44898  0.2045128 -0.8601833
 341.71428  -22.44898  0.2089964 -0.8600953
 349.14285  -22.44898  0.2134810 -0.8600057
 356.57142  -22.44898  0.2179666 -0.8599143
 363.99999  -22.44898  0.2224532 -0.8598213
 371.42856  -22.44898  0.2269408 -0.8597266
 378.85713  -22.44898  0.2314295 -0.8596303
 386.28570  -22.44898  0.2359193 -0.8595323
