# COL_ERR=0.00000  COL_PHI=0.00000  TNT_ANG=71.0000  TNT_PHI=90.0810
## Alpha-tanx tany | xmask ymask
-0.2424801 -0.8607901 -408.57142  -22.44898
-0.2379881 -0.8608646 -401.14285  -22.44898
-0.2334972 -0.8609374 -393.71427  -22.44898
-0.2290075 -0.8610086 -386.28570  -22.44898
-0.2245188 -0.8610781 -378.85713  -22.44898
-0.2200311 -0.8611459 -371.42856  -22.44898
-0.2155445 -0.8612120 -363.99999  -22.44898
-0.2110589 -0.8612765 -356.57142  -22.44898
-0.2065743 -0.8613394 -349.14285  -22.44898
-0.2020907 -0.8614006 -341.71428  -22.44898
-0.1976081 -0.8614601 -334.28571  -22.44898
-0.1931264 -0.8615180 -326.85713  -22.44898
-0.1886456 -0.8615742 -319.42856  -22.44898
-0.1841657 -0.8616288 -311.99999  -22.44898
-0.1796867 -0.8616817 -304.57142  -22.44898
-0.1752086 -0.8617330 -297.14285  -22.44898
-0.1707313 -0.8617827 -289.71428  -22.44898
-0.1662549 -0.8618307 -282.28571  -22.44898
-0.1617792 -0.8618771 -274.85714  -22.44898
-0.1573044 -0.8619218 -267.42856  -22.44898
-0.1528303 -0.8619650 -259.99999  -22.44898
-0.1483570 -0.8620064 -252.57142  -22.44898
-0.1438844 -0.8620463 -245.14285  -22.44898
-0.1394125 -0.8620845 -237.71428  -22.44898
-0.1349413 -0.8621211 -230.28571  -22.44898
-0.1304707 -0.8621561 -222.85714  -22.44898
-0.1260008 -0.8621894 -215.42857  -22.44898
-0.1215316 -0.8622211 -207.99999  -22.44898
-0.1170629 -0.8622512 -200.57142  -22.44898
-0.1125948 -0.8622797 -193.14285  -22.44898
-0.1081273 -0.8623066 -185.71428  -22.44898
-0.1036603 -0.8623318 -178.28571  -22.44898
-0.0991938 -0.8623555 -170.85714  -22.44898
-0.0947279 -0.8623775 -163.42857  -22.44898
-0.0902624 -0.8623979 -156.00000  -22.44898
-0.0857973 -0.8624166 -148.57142  -22.44898
-0.0813327 -0.8624338 -141.14285  -22.44898
-0.0768685 -0.8624494 -133.71428  -22.44898
-0.0724047 -0.8624633 -126.28571  -22.44898
-0.0679413 -0.8624757 -118.85714  -22.44898
-0.0634782 -0.8624864 -111.42857  -22.44898
-0.0590154 -0.8624955 -104.00000  -22.44898
-0.0545530 -0.8625030  -96.57143  -22.44898
-0.0500908 -0.8625089  -89.14285  -22.44898
-0.0456288 -0.8625132  -81.71428  -22.44898
-0.0411671 -0.8625159  -74.28571  -22.44898
-0.0367057 -0.8625170  -66.85714  -22.44898
-0.0322444 -0.8625165  -59.42857  -22.44898
-0.0277832 -0.8625144  -52.00000  -22.44898
-0.0233223 -0.8625106  -44.57143  -22.44898
-0.0188614 -0.8625053  -37.14286  -22.44898
-0.0144007 -0.8624983  -29.71428  -22.44898
-0.0099400 -0.8624898  -22.28571  -22.44898
-0.0054794 -0.8624797  -14.85714  -22.44898
-0.0010188 -0.8624679   -7.42857  -22.44898
 0.0034418 -0.8624545    0.00000  -22.44898
 0.0079024 -0.8624396    7.42857  -22.44898
 0.0123630 -0.8624230   14.85714  -22.44898
 0.0168237 -0.8624048   22.28571  -22.44898
 0.0212844 -0.8623851   29.71428  -22.44898
 0.0257453 -0.8623637   37.14286  -22.44898
 0.0302062 -0.8623407   44.57143  -22.44898
 0.0346673 -0.8623161   52.00000  -22.44898
 0.0391286 -0.8622899   59.42857  -22.44898
 0.0435901 -0.8622621   66.85714  -22.44898
 0.0480518 -0.8622327   74.28571  -22.44898
 0.0525137 -0.8622017   81.71428  -22.44898
 0.0569759 -0.8621690   89.14285  -22.44898
 0.0614383 -0.8621348   96.57143  -22.44898
 0.0659011 -0.8620990  104.00000  -22.44898
 0.0703641 -0.8620615  111.42857  -22.44898
 0.0748275 -0.8620224  118.85714  -22.44898
 0.0792913 -0.8619818  126.28571  -22.44898
 0.0837555 -0.8619395  133.71428  -22.44898
 0.0882201 -0.8618956  141.14285  -22.44898
 0.0926851 -0.8618501  148.57142  -22.44898
 0.0971506 -0.8618029  156.00000  -22.44898
 0.1016165 -0.8617542  163.42857  -22.44898
 0.1060829 -0.8617038  170.85714  -22.44898
 0.1105499 -0.8616518  178.28571  -22.44898
 0.1150174 -0.8615982  185.71428  -22.44898
 0.1194854 -0.8615430  193.14285  -22.44898
 0.1239541 -0.8614861  200.57142  -22.44898
 0.1284233 -0.8614276  207.99999  -22.44898
 0.1328932 -0.8613675  215.42857  -22.44898
 0.1373637 -0.8613058  222.85714  -22.44898
 0.1418349 -0.8612424  230.28571  -22.44898
 0.1463067 -0.8611774  237.71428  -22.44898
 0.1507793 -0.8611108  245.14285  -22.44898
 0.1552526 -0.8610425  252.57142  -22.44898
 0.1597267 -0.8609727  259.99999  -22.44898
 0.1642015 -0.8609011  267.42856  -22.44898
 0.1686771 -0.8608279  274.85714  -22.44898
 0.1731535 -0.8607531  282.28571  -22.44898
 0.1776308 -0.8606767  289.71428  -22.44898
 0.1821089 -0.8605986  297.14285  -22.44898
 0.1865878 -0.8605188  304.57142  -22.44898
 0.1910677 -0.8604374  311.99999  -22.44898
 0.1955485 -0.8603544  319.42856  -22.44898
 0.2000301 -0.8602697  326.85713  -22.44898
 0.2045128 -0.8601833  334.28571  -22.44898
 0.2089964 -0.8600953  341.71428  -22.44898
 0.2134810 -0.8600057  349.14285  -22.44898
 0.2179666 -0.8599143  356.57142  -22.44898
 0.2224532 -0.8598213  363.99999  -22.44898
 0.2269408 -0.8597266  371.42856  -22.44898
 0.2314295 -0.8596303  378.85713  -22.44898
 0.2359193 -0.8595323  386.28570  -22.44898
 0.2404102 -0.8594326  393.71427  -22.44898
 0.2449021 -0.8593313  401.14285  -22.44898
 0.2493953 -0.8592282  408.57142  -22.44898
-0.2428952 -0.8643661 -408.57142  -17.95918
-0.2383953 -0.8644396 -401.14285  -17.95918
-0.2338965 -0.8645115 -393.71427  -17.95918
-0.2293988 -0.8645817 -386.28570  -17.95918
-0.2249022 -0.8646502 -378.85713  -17.95918
-0.2204067 -0.8647172 -371.42856  -17.95918
-0.2159122 -0.8647824 -363.99999  -17.95918
-0.2114187 -0.8648461 -356.57142  -17.95918
-0.2069263 -0.8649081 -349.14285  -17.95918
-0.2024348 -0.8649684 -341.71428  -17.95918
-0.1979443 -0.8650271 -334.28571  -17.95918
-0.1934547 -0.8650842 -326.85713  -17.95918
-0.1889661 -0.8651397 -319.42856  -17.95918
-0.1844784 -0.8651935 -311.99999  -17.95918
-0.1799916 -0.8652457 -304.57142  -17.95918
-0.1755056 -0.8652963 -297.14285  -17.95918
-0.1710205 -0.8653452 -289.71428  -17.95918
-0.1665363 -0.8653925 -282.28571  -17.95918
-0.1620528 -0.8654382 -274.85714  -17.95918
-0.1575702 -0.8654823 -267.42856  -17.95918
-0.1530883 -0.8655248 -259.99999  -17.95918
-0.1486072 -0.8655657 -252.57142  -17.95918
-0.1441268 -0.8656049 -245.14285  -17.95918
-0.1396472 -0.8656425 -237.71428  -17.95918
-0.1351682 -0.8656786 -230.28571  -17.95918
-0.1306899 -0.8657130 -222.85714  -17.95918
-0.1262122 -0.8657458 -215.42857  -17.95918
-0.1217352 -0.8657770 -207.99999  -17.95918
-0.1172587 -0.8658066 -200.57142  -17.95918
-0.1127829 -0.8658346 -193.14285  -17.95918
-0.1083076 -0.8658610 -185.71428  -17.95918
-0.1038329 -0.8658858 -178.28571  -17.95918
-0.0993587 -0.8659090 -170.85714  -17.95918
-0.0948850 -0.8659306 -163.42857  -17.95918
-0.0904118 -0.8659506 -156.00000  -17.95918
-0.0859390 -0.8659690 -148.57142  -17.95918
-0.0814667 -0.8659858 -141.14285  -17.95918
-0.0769948 -0.8660010 -133.71428  -17.95918
-0.0725232 -0.8660146 -126.28571  -17.95918
-0.0680521 -0.8660266 -118.85714  -17.95918
-0.0635813 -0.8660371 -111.42857  -17.95918
-0.0591108 -0.8660459 -104.00000  -17.95918
-0.0546406 -0.8660532  -96.57143  -17.95918
-0.0501707 -0.8660589  -89.14285  -17.95918
-0.0457011 -0.8660629  -81.71428  -17.95918
-0.0412317 -0.8660654  -74.28571  -17.95918
-0.0367625 -0.8660663  -66.85714  -17.95918
-0.0322935 -0.8660656  -59.42857  -17.95918
-0.0278246 -0.8660634  -52.00000  -17.95918
-0.0233560 -0.8660595  -44.57143  -17.95918
-0.0188874 -0.8660540  -37.14286  -17.95918
-0.0144190 -0.8660470  -29.71428  -17.95918
