GRB     z      alpha  beta  t0(s)  mag(AB)  magwv  Ref
010222 1.4769  0.80  0.89  28859   18.9     6588.   1
020813 1.2541  0.85  0.92  10683   18.5     6588.   2
021004 2.328   9.99  1.05  58811.  19.12    6588.   11
030323 3.3718  1.56  0.89  101902. 20.55    6588    4
030329 0.1685  1.10  1.00  106293. 16.5     6588    5
050408 1.236   0.79  1.3   13392   21.2     6588.   6
050730 3.9686  0.30  1.8   3500   17.4     6588.    7
050820 2.6147  0.78  0.77  3440   16.77    6588.    8
051111 1.5495  0.87  0.6     50   13.5     6588.    9
060206 4.048   1.01  0.515 41040  19.0     6588    10
080607 3.036   1.70  2.00  240    15.35    6588    12
