Al  6.49 13
Ar  6.52 18
As  2.37 33
B   2.79  5
Ba  2.22 56
C   8.59  6
Ca  6.35 20
Ce  1.61 58
Cd  1.76 48
Cl  5.28 17
Co  4.91 27
Cr  5.67 24
Cu  4.29 29
Eu  0.54 63
Fe  7.50 26
Ga  3.13 31
Ge  3.63 32
H  12.00  1
K   5.13 19
Kr  3.23 36
La  1.22 57
Li  3.31  3
Mg  7.58 12
Mn  5.53 25
Mo  1.97 42
N   7.97  7
Na  6.32 11
Ne  8.08 10
Nd  1.47 60
Ni  6.25 28
O   8.74  8
P   5.53 15
Pb  2.06 82
Rb  2.41 37
S   7.20 16
Sc  3.10 21
Si  7.56 14
Sm  0.97 62
Sn  2.14 50
Te  2.24 52
Ti  4.94 22
Tl  0.83 81
V   4.02 23
Xe  2.23 54
Y   2.23 39
Zn  4.67 30
Zr  2.61 40
