#     wave         eff
      7515.81      13.7095
      7396.51      13.6243
      7280.94      14.6058
      7168.93      14.0770
      7060.31      15.0994
      6954.93      15.7984
      6852.65      16.2106
      6753.34      15.6180
      6656.86      16.7835
      6563.10      16.1819
      6471.95      16.7289
      6383.29      17.3095
      6297.03      17.2952
      6213.07      17.3121
      6131.32      17.3588
      6051.69      17.0613
      5974.11      16.3782
      5898.48      16.2186
      5824.75      16.0590
      5752.84      15.8297
      5682.69      15.5685
      5614.22      15.3072
      5547.38      15.8464
      5482.12      16.3166
      5418.38      16.8559
      5356.10      16.7174
      5295.23      16.3362
      5235.73      16.6039
      5177.56      16.4887
      5120.66      16.3470
      5065.00      16.0721
      5010.54      15.7123
      4957.24      15.9191
      4905.06      16.9510
      4853.96      15.6873
      4803.92      15.0070
      4754.90      14.6667
      4706.87      14.3262
      4659.80      13.7786
      4613.67      13.6844
      4568.43      13.1808
      4524.08      12.8779
      4480.58      12.6257
      4437.91      12.1872
      4396.04      12.1113
      4354.96      12.1493
      4314.63      10.1294
      4275.05      11.8511
      4236.18      10.1236
      4198.02      9.76651
      4160.54      9.98580
      4123.72      10.8689
      4087.55      8.85496
      4052.00      7.89387
      4017.07      8.50649
      3982.74      7.11133
      3948.99      7.03181
      3915.80      6.88260
      3883.17      5.97614
      3851.08      5.78092
      3819.51      5.15124
      3788.46      4.90612
      3757.91      4.64644
