 1026.00  Hydrogen   Ly  beta
 1035.00  Oxygen      O    VI
 1190.42  Silicon    Si    II
 1193.28  Silicon    Si    II
 1199.90  Nitrogen    N     I
 1206.51  Silicon    Si   III
 1216.00  Hydrogen    Ly alpha
 1238.81  Nitrogen    N     V
 1242.80  Nitrogen    N     V
 1260.42  Silicon    Si    II
 1302.08  Oxygen      O     I
 1304.40  Silicon    Si    II
 1334.53  Carbon      C    II
 1393.76  Silicon    Si    IV
 1402.77  Silicon    Si    IV
 1526.72  Silicon    Si    II
 1548.20  Carbon      C    IV
 1550.77  Carbon      C    IV
 1608.45  Iron       Fe    II
 1670.91  Aluminum   Al    II
 1854.72  Aluminum   Al   III
 1862.78  Aluminum   Al   III
 2796.82  Magnesium  Mg    II
 2803.83  Magnesium  Mg    II
 3798.98  Hydrogen    H    10
 3836.49  Hydrogen    H     9
 3890.00  Hydrogen    H     8
 3890.15  Hydrogen    H     f
 3934.79  Calcium    Ca  II K
 3969.61  Calcium    Ca  II H
 4102.90  Hydrogen    H     d
 4341.69  Hydrogen    H gamma
 4862.70  Hydrogen    H     b
 5168.74  Magnesium  Mg     I
 5174.14  Magnesium  Mg     I
 5185.04  Magnesium  Mg     I
 5891.61  Sodium     Na     I
 5894.13  Sodium     Na     I
 5897.57  Sodium     Na     I
 6564.63  Hydrogen    H     a
