Q 0000-2619 	4.11 	2.389 	4.060 	3.3901 	21.4 	5, 13
BR J0006-6208 	4.455 	2.944 	4.400 	2.97 	20.7 	25
a   a           9. 9. 9.           	3.20 	20.9 	25
 a   a           9. 9. 9.		3.78 	21.0 	25
Q 0010-0012 	2.15 	1.634 	2.119 	2.0233 	20.8 	4, 10
Q 0013-0029 	2.08 	1.634 	2.049 	1.9730 	20.7 	4, 11
BR B0019-1522 	4.528 	2.97 	4.473 	3.4370 	20.92 	22, 1
Q 0027+0103 	2.29 	1.634 	2.257 	1.9375 	20.6 	4, 10
BR J0030-5129 	4.174 	2.304 	4.122 	2.45 	20.8 	25
Q 0042-2930 	2.39 	1.591 	2.354 	1.931 	20.5 	4
Q 0049-2820 	2.26 	1.638 	2.223 	2.0713 	20.5 	4, 11
Q 0056+0125 	3.16 	2.197 	3.119 	2.7750 	21.0 	4, 10
Q 0058-2914 	3.07 	1.778 	3.052 	2.6711 	21.2 	21
Q 0100-3105 	2.64 	1.687 	2.605 	2.131 	20.5 	4
Q 0100+1300 	2.69 	1.64 	2.74 	2.3093 	21.4 	16, 15
Q 0102-1902 	3.04 	2.044 	2.995 	2.3693 	21.0 	5, 8
Q 0102-0214 	1.98 	1.649 	1.949 	1.7431 	20.6 	4, 10
PSS J0106+2601 	4.309 	2.764 	4.256 	3.96 	20.5 	25
BRI B0111-2819 	4.30 	2.709 	4.247 	3.1043 	21.0 	1
Q 0112-3041 	2.99 	1.881 	2.945 	2.4191 	20.5 	21, 9
Q 0112-3041 	2.99 	1.881 	2.945 	2.7023 	20.3 	21, 9
Q 0112+0300 	2.81 	1.813 	2.785 	2.4227 	21.0 	5, 11
PSS J0132+1341 	4.147 	2.844 	4.096 	3.93 	20.3 	1
PSS J0133+0400 	4.154 	2.865 	4.102 	3.69 	20.4 	25
a a 9. 9. 9.		  	        3.77 	20.5 	25
PSS J0134+3307 	4.532 	2.562 	4.477 	3.76 	20.6 	25
Q 0149+3335 	2.43 	1.64 	2.43 	2.1413 	20.5 	16, 7
PSS J0152+0735 	4.051 	1.890 	4.000 	3.84 	20.7 	25
Q 0201+3634 	2.49 	1.632 	2.879 	2.4614 	20.4 	21, 8
Q 0201+3634 	2.49 	1.632 	2.879 	1.768 	20.5 	21
PSS J0209+0517 	4.174 	2.759 	4.122 	3.66 	20.3 	25
a a 9. 9. 9.		  	        3.86 	20.6 	25
Q 0216+0803 	3.00 	1.731 	2.953 	2.2930 	20.5 	5, 9
BR J0301-5537 	4.133 	2.825 	4.082 	3.22 	20.3 	25
Q 0302-223 	1.4000 	1.0077 	1.3760 	1.0104 	20.36 	24
BR J0307-4945 	4.728 	3.138 	4.671 	4.46 	20.8 	25
SDSS J0310-0014 	4.658 	3.087 	4.601 	3.42 	20.5 	25
BR B0331-1622 	4.38 	2.868 	4.326 	3.56 	20.6 	1
BR J0334-1612 	4.363 	3.080 	4.309 	3.56 	21.0 	25
Q 0336-0142 	3.20 	2.109 	3.155 	3.0619 	21.2 	21, 8
SDSS J0338+0021 5.010 	3.528 	4.950 	4.06 	20.4 	25
Q 0347-3819 	3.23 	2.044 	3.186 	3.0244 	20.8 	21, 18
BR J0426-2202 	4.320 	2.544 	4.267 	2.98 	21.1 	25
Q 0449-1330 	3.097 	2.006 	3.056 	2.052 	20.4 	21
Q 0458-0203 	2.29 	1.96 	2.29 	2.0399 	21.7 	16, 7
Q 0528-2505 	2.779 	1.961 	2.741 	2.1404 	21.0 	5
PSS J0747+4434 	4.430 	2.764 	4.376 	3.76 	20.3 	25
a a 9. 9. 9.		  		4.02 	20.6 	25
Q 0834-2006 	2.75 	1.632 	2.704 	1.715 	20.4 	21
Q 0836+1122 	2.70 	1.74 	2.67 	2.4660 	20.6 	16, 6
Q 0913+0715 	2.78 	1.866 	2.739 	2.6187 	20.3 	21, 8
MG 0930+2858 	3.41 	2.173 	3.366 	3.24 	20.5 	2
Q 0935+4143 	1.9800 	1.0626 	1.550 	1.369 	20.3 	3
BR B0951-0450 	4.369 	2.93 	4.315 	3.8580 	20.6 	22, 1
BR B0951-0450 	4.369 	2.93 	4.315 	4.2028 	20.4 	22, 1
BRI B0952-0115 	4.426 	2.99 	4.372 	4.0238 	20.55 	22, 1
PC 0953+4749 	4.457 	3.010 	4.004 	3.403 	20.9 	1
PC 0953+4749 	4.457 	3.010 	4.004 	3.890 	21.1 	1
BRI B1013+0035 	4.405 	2.61 	4.351 	3.1031 	21.1 	22, 1
Q 1032+0414 	3.39 	2.067 	3.347 	2.839 	20.3 	21
PSS J1057+4555 	4.116 	2.652 	4.065 	3.05 	20.3 	1, 25
BRI B1108-0747 	3.922 	2.64 	3.873 	3.607 	20.33 	22, 23
