Q0000-2619 	 00:03:22.91 	-26:03:16.8
BRJ0006-6208 	 00:06:51.61 	-62:08:03.7
BRJ0006-6208 	 00:06:51.61 	-62:08:03.7
BRJ0006-6208 	 00:06:51.61 	-62:08:03.7
Q0010-0012 	 00:13:06.15 	+00:04:31.9
Q0013-0029 	 00:16:02.40 	-00:12:25.0
BRB0019-1522 	 00:22:08.0 	-15:05:38
Q0027+0103 	 00:30:08.11 	+01:20:11.6
BRJ0030-5129 	 00:30:34.37 	-51:29:46.3
Q0042-2930 	 00:45:08.51 	-29:14:32.1
Q0049-2820 	 00:51:27.20 	-28:04:35.0
Q0056+0125 	 00:59:17.62 	+01:42:06.3
Q0058-2914 	 01:01:04.60 	-28:58:00.9
Q0100-3105 	 01:03:02.80 	-30:49:38.0
Q0100+1300 	 01:03:11.27 	+13:16:18.0
Q0102-1902 	 01:05:16.80 	-18:46:42.1
Q0102-0214 	 01:05:17.10 	-01:58:27.0
PSSJ0106+2601 	 01:06:00.80 	+26:01:02.5
BRIB0111-2819 	 01:13:52.50 	-28:14:08.0
Q0112-3041 	 01:14:51.40 	-30:14:09.0
Q0112-3041 	 01:14:51.40 	-30:14:09.0
Q0112+0300 	 01:14:34.9 	+03:09:51
PSSJ0132+1341 	 01:32:09.90	 +13:41:39.0
PSSJ0133+0400 	 01:33:40.4 	+04:00:59
PSSJ0133+0400 	 01:33:40.4 	+04:00:59
PSSJ0134+3307 	 01:34:21.60 	+33:07:56.0
Q0149+3335 	 01:52:34.58 	+33:50:33.2
PSSJ0152+0735 	 01:52:11.10 	+07:35:50.2
Q0201+3634 	 02:04:55.63 	+36:49:18.1
Q0201+3634 	 02:04:55.63 	+36:49:18.1
PSSJ0209+0517 	 02:09:44.7 	+05:17:13
PSSJ0209+0517 	 02:09:44.7 	+05:17:13
Q0216+0803 	 02:18:57.34 	+08:17:27.8
BRJ0301-5537 	 03:01:21.55 	-55:37:11.6
Q0302-223 	 03:04:49.86 	-22:11:52.2
BRJ0307-4945 	 03:07:22.8 	-49:45:48
J0310-0014 	 03:10:36.97 	-00:14:57.0
BRB0331-1622 	 03:34:13.45 	-16:12:05.2
BRJ0334-1612 	 03:34:13.45 	-16:12:05.2
Q0336-0142 	 03:39:00.90 	-01:33:18.0
J0338+0021 	 03:38:29.30 	+00:21:56.2
Q0347-3819 	 03:49:43.68 	-38:10:31.3
BRJ0426-2202 	 04:26:10.33 	-22:02:17.3
Q0449-1330 	 04:51:42.60 	-13:20:33.0
Q0458-0203 	 05:01:12.81 	-01:59:14.3
Q0528-2505 	 05:30:07.96 	-25:03:29.9
PSSJ0747+4434 	 07:47:50.00 	+44:34:16.0
PSSJ0747+4434 	 07:47:50.00 	+44:34:16.0
Q0834-2006 	 08:36:39.22 	-20:16:59.5
Q0836+1122 	 08:39:33.02 	+11:12:03.8
Q0913+0715 	 09:16:14.00 	+07:02:24.6
Q0930+2858 	 09:33:37.8  	+28:45:35.26
Q0935+4143 	 09:38:57.01 	+41:28:21.2
BRB0951-0450 	 09:53:55.70 	-05:04:18.0
BRB0951-0450 	 09:53:55.70 	-05:04:18.0
BRIB0952-0115 	 09:55:00.10 	-01:30:07.0
PC0953+4749 	 09:56:25.20 	+47:34:42.0
PC0953+4749 	 09:56:25.20 	+47:34:42.0
BRIB1013+0035 	 10:15:49.00 	+00:20:20.0
Q1032+0414 	 10:55:05.2 	+04:14:00
