#  Redshift      B         i
     0.000     0.000     0.000
     0.100    -0.019    -0.126
     0.200    -0.062    -0.155
     0.300    -0.106    -0.143
     0.400    -0.178    -0.259
     0.500    -0.250    -0.338
     0.600    -0.280    -0.348
     0.700    -0.295    -0.294
     0.800    -0.307    -0.319
     0.900    -0.320    -0.348
     1.000    -0.346    -0.376
     1.100    -0.402    -0.403
     1.200    -0.433    -0.428
     1.300    -0.457    -0.452
     1.400    -0.477    -0.479
     1.500    -0.515    -0.581
     1.600    -0.579    -0.616
     1.700    -0.604    -0.620
     1.800    -0.628    -0.635
     1.900    -0.648    -0.637
     2.000    -0.660    -0.599
     2.100    -0.701    -0.614
     2.200    -0.844    -0.631
     2.300    -1.010    -0.648
     2.400    -1.041    -0.664
     2.500    -1.034    -0.681
     2.600    -1.005    -0.719
     2.700    -0.963    -0.772
     2.800    -0.916    -0.787
     2.900    -0.858    -0.798
     3.000    -0.788    -0.797
