\ Johnson B, 0 and 1 airmasses, Math&Sandage,ApJ 138,49,1963
\ These are energy efficiencies, so need to be divided by lam to be my
\ canonical quantum efficiencies. The normalization is such that 
\ HD19445 has B-V of 0.46.
\ lam   s~_b0   s~_b1  
3500    0.000   0.000
3600    0.015   0.006
3700    0.100   0.080
3800    0.500   0.337
3900    1.800   1.425
4000    3.620   2.253
4100    3.910   2.806
4200    4.000   2.950
4300    3.980   3.000
4400    3.780   2.937
4500    3.500   2.780
4600    3.150   2.520
4700    2.700   2.230
4800    2.320   1.881
4900    1.890   1.550
5000    1.530   1.275
5100    1.140   0.975
5200    0.750   0.695
5300    0.500   0.430
5400    0.250   0.210
5500    0.070   0.055
5600    0.000   0.000
