\ Johnson V, 0 and 1 airmasses, Matthews&Sandage,ApJ 138,49,1963
\ These are energy transmittances, so need to be divided by lam to be my
\ canonical qe transmittances.
\ lam   s~_v0   s~_v1  
4600    0.000   0.000
4700    0.000   0.000
4800    0.020   0.020
4900    0.280   0.175
5000    1.180   0.900
5100    2.170   1.880
5200    2.970   2.512
5300    3.330   2.850
5400    3.250   2.820
5500    3.000   2.625
5600    2.700   2.370
5700    2.320   2.050
5800    2.000   1.720
5900    1.670   1.413
6000    1.280   1.068
6100    0.920   0.795
6200    0.650   0.567
6300    0.430   0.387
6400    0.260   0.250
6500    0.175   0.160
6600    0.125   0.110
6700    0.100   0.081
6800    0.070   0.061
6900    0.050   0.045
7000    0.030   0.028
7100    0.020   0.017
7200    0.010   0.007
7300    0.000   0.000
7400    0.000   0.000
