# CuAr Line List: 3094A-10470A
# units Angstroms
3093.4019 CuAr
3139.0176 CuAr
3161.3726 CuAr
3169.6685 CuAr
3181.0376 CuAr
3204.3210 CuAr
3243.6887 CuAr
3249.8003 CuAr
3281.7016 CuAr
3307.2283 CuAr
3350.9243 CuAr
3376.4359 CuAr
3388.5309 CuAr
3454.0952 CuAr
3476.7474 CuAr
3478.2324 CuAr
3480.5055 CuAr
3499.4765 CuAr
3509.7785 CuAr
3514.3877 CuAr
3519.9936 CuAr
3521.2601 CuAr
3521.9781 CuAr
3535.3196 CuAr
3548.5144 CuAr
3554.3058 CuAr
3556.9041 CuAr
3559.5081 CuAr
3561.0304 CuAr
3565.0298 CuAr
3567.6564 CuAr
3576.6156 CuAr
3581.6084 CuAr
3582.3546 CuAr
3588.4407 CuAr
3605.8792 CuAr
3606.5218 CuAr
3622.1375 CuAr
3632.6831 CuAr
3637.0310 CuAr
3639.8329 CuAr
3649.8323 CuAr
3650.8896 CuAr
3655.2782 CuAr
3656.0498 CuAr
3659.5289 CuAr
3660.437 CuAr
3669.6024 CuAr
3671.0048 CuAr
3673.2645 CuAr
3678.2701 CuAr
3680.0609 CuAr
3682.5448 CuAr
3690.8951 CuAr
3706.9302 CuAr
3709.9088 CuAr
3714.7337 CuAr
3717.1713 CuAr
3718.2065 CuAr
3720.4265 CuAr
3724.5165 CuAr
3729.3087 CuAr
3737.889 CuAr
3746.4476 CuAr
3750.4799 CuAr
3753.5177 CuAr
3754.0498 CuAr
3763.5053 CuAr
3765.27 CuAr
3766.1186 CuAr
3770.52 CuAr
3780.8398 CuAr
3786.3824 CuAr
3796.5934 CuAr
3799.382 CuAr
3803.1724 CuAr
3808.5748 CuAr
3809.4561 CuAr
3819.0159 CuAr
3825.6729 CuAr
3826.8072 CuAr
3834.6787 CuAr
3841.5187 CuAr
3844.7311 CuAr
3845.4055 CuAr
3850.5813 CuAr
3856.1382 CuAr
3861.747 CuAr
3868.5284 CuAr
3872.1371 CuAr
3875.2645 CuAr
3880.3332 CuAr
3891.4017 CuAr
3891.9792 CuAr
3894.66 CuAr
3895.2502 CuAr
3900.6266 CuAr
3911.576 CuAr
3914.7675 CuAr
3925.7188 CuAr
3926.0456 CuAr
3928.6233 CuAr
3931.2359 CuAr
3932.5466 CuAr
3944.2717 CuAr
3946.0971 CuAr
3947.5046 CuAr
3948.9789 CuAr
3952.7291 CuAr
3958.38 CuAr
3968.3594 CuAr
3974.4766 CuAr
3974.759 CuAr
3979.3559 CuAr
3979.7155 CuAr
3988.1576 CuAr
3992.0535 CuAr
3994.7918 CuAr
3999.252 CuAr
4001.1379 CuAr
4005.3628 CuAr
4011.2093 CuAr
4013.8566 CuAr
4019.8429 CuAr
4022.629 CuAr
4031.3783 CuAr
4033.8093 CuAr
4035.46 CuAr
4038.8043 CuAr
4042.8937 CuAr
4044.4179 CuAr
4045.6773 CuAr
4045.9654 CuAr
4047.4815 CuAr
4052.9208 CuAr
4054.5258 CuAr
4062.641 CuAr
4063.238 CuAr
4070.7835 CuAr
4072.0047 CuAr
4072.3849 CuAr
4076.6284 CuAr
4076.9432 CuAr
4079.5738 CuAr
4082.3872 CuAr
4099.4563 CuAr
4103.9121 CuAr
4112.8153 CuAr
4116.3753 CuAr
4128.64 CuAr
4129.6823 CuAr
4131.7235 CuAr
4144.2435 CuAr
4156.086 CuAr
4158.5905 CuAr
4164.1795 CuAr
4168.9682 CuAr
4178.3658 CuAr
4179.2973 CuAr
4181.8836 CuAr
4189.6511 CuAr
4190.7129 CuAr
4191.0294 CuAr
4198.317 CuAr
4199.8891 CuAr
4200.6745 CuAr
4201.5549 CuAr
4201.9715 CuAr
4203.4109 CuAr
4217.4308 CuAr
4218.6649 CuAr
4222.6373 CuAr
4226.6089 CuAr
4226.9876 CuAr
4228.158 CuAr
4229.8696 CuAr
4237.2198 CuAr
4248.956 CuAr
4251.1846 CuAr
4255.6034 CuAr
4259.3619 CuAr
4266.2864 CuAr
4266.5271 CuAr
4272.1689 CuAr
4277.5282 CuAr
4282.8976 CuAr
4297.9645 CuAr
4300.1008 CuAr
4300.6495 CuAr
4309.2392 CuAr
4331.1995 CuAr
4332.0297 CuAr
4333.5612 CuAr
4335.3379 CuAr
4337.0708 CuAr
4338.2314 CuAr
4345.168 CuAr
4345.8966 CuAr
4348.064 CuAr
4352.2049 CuAr
4362.0662 CuAr
4363.7945 CuAr
4367.8316 CuAr
4370.7532 CuAr
4371.329 CuAr
4372.49 CuAr
4374.8579 CuAr
4375.9542 CuAr
4379.6668 CuAr
4382.928 CuAr
4383.7535 CuAr
4385.0566 CuAr
4386.9656 CuAr
4397.7971 CuAr
4400.0968 CuAr
4400.9863 CuAr
4401.755 CuAr
4404.9022 CuAr
4406.4704 CuAr
4420.9124 CuAr
4423.9944 CuAr
4426.0011 CuAr
4430.189 CuAr
4430.9963 CuAr
4433.838 CuAr
4438.1175 CuAr
4439.4614 CuAr
4439.8793 CuAr
4440.1216 CuAr
4445.8483 CuAr
4448.4597 CuAr
4448.8792 CuAr
4449.5206 CuAr
4460.5574 CuAr
