 $#  Uses Murphy approved list for HIRESb 
3058.426284 1   Th
3060.438957 1   Th
3060.905473 1   Ar
3065.683758 1   Th
3065.930013 1   Th
3066.412051 1   Th
3067.729409 1   Th
3069.255822 1   Th
3072.115012 1   Th
3072.825235 1   Th
3073.803950 1   XX
3075.056529 1   Th
3077.339066 1   Th
3077.717166 1   Th
3077.931848 1   Th
3078.828026 1   Th
3079.887460 1   Th
3080.217043 1   Th
3081.032158 1   XX
3081.981001 1   Th
3082.504712 1   Th
3085.025579 1   Ar
3086.566720 1   XX
3093.401536 1   Ar
3097.267189 1   Th
3097.974304 1   Th
3100.938252 1   Th
3101.689840 1   Th
3107.026136 1   Th
3108.296793 1   Th
3110.020904 1   Th
3111.430176 1   Th
3112.089063 1   Th
3116.479185 1   Th
3117.684010 1   Th
3121.767497 1   XX
3124.387391 1   Th
3125.209127 1   Th
3126.053162 1   Th
3127.208241 1   Th
3129.974056 1   Th
3133.619655 1   Th
3134.425744 1   Th
3135.533583 1   XX
3136.216082 1   Th
3136.483049 1   Ar
3136.829275 1   Th
3137.171915 1   Th
3137.632620 1   Ar
3139.017198 1   Ar
3140.272028 1   Th
3141.847238 1   Th
3142.835605 1   Th
3145.636991 1   Th
3146.043368 1   Th
3146.810869 1   Th
3153.218199 1   Th
3153.784399 1   Ar
3154.300879 1   Th
3155.830181 1   Th
3156.400648 1   Th
3158.402581 1   XX
3158.617344 1   Th
3158.869053 1   Ca
3159.072264 1   Th
3159.707222 1   XX
3161.688137 1   Th
3162.029026 1   XX
3163.094967 1   XX
3164.481563 1   Th
3165.291051 1   Ar
3166.098416 1   Th
3169.328492 1   Th
3169.668007 1   Ar
3171.275477 1   Th
3172.111202 1   XX
3173.426654 1   Th
3173.704570 1   XX
3174.204340 1   Th
3175.057311 1   Th
3175.725737 1   Th
3176.167080 1   Th
3178.243304 1   Th
3179.048191 1   Th
3179.627395 1   XX
3180.193754 1   Th
3181.037112 1   Ar
3182.405455 1   Th
3182.642528 1   Th
3184.614959 1   Th
3184.949173 1   Th
3185.676757 1   XX
3186.171701 1   Ar
3192.585625 1   Th
3193.159769 1   Th
3193.368884 1   Th
3193.780994 1   Th
3195.313946 1   Th
3195.689137 1   Th
3203.879949 1   Th
3204.320885 1   Ar
3205.288757 1   Th
3207.581032 1   Ar
3207.782509 1   Th
3210.308825 1   Th
3211.194319 1   Th
3212.518078 1   Ar
3214.074664 1   Th
3214.380124 1   Th
3216.997913 1   Th
3218.309076 1   Th
3220.350851 1   Th
3221.864105 1   Th
3222.397889 1   Ar
3225.411053 1   Th
3226.119007 1   Th
3227.470455 1   XX
3229.009593 1   Th
3230.867963 1   Th
3232.306180 1   Th
3233.627614 1   Th
3235.667388 1   XX
3235.839985 1   XX
3237.232332 1   XX
3238.115747 1   Th
3238.934310 1   Th
3241.107950 1   Th
3243.688079 1   Ar
3244.448809 1   Th
3244.881507 1   Th
3248.893834 1   Th
3251.915910 1   Th
3252.964413 1   XX
3254.067323 1   Th
3254.809902 1   Th
3255.510061 1   Th
3256.273854 1   Th
3257.162051 1   Th
3257.366748 1   Th
3257.934784 1   Th
3259.060869 1   Th
3259.245136 1   Th
3262.668454 1   Th
3264.121613 1   Th
3265.577869 1   Th
3267.002454 1   Th
3269.469866 1   Th
3272.026800 1   Th
3273.317142 1   Ar
3274.403982 1   Th
3275.067597 1   Th
3275.643359 1   Ar
3281.700950 1   Ar
3282.616574 1   XX
3286.582912 1   Th
3287.789301 1   Th
3288.160274 1   Th
3290.126665 1   Th
3290.599620 1   Th
3291.739449 1   Th
3294.245237 1   Th
3297.374831 1   Th
3297.833304 1   Th
3298.049858 1   Th
3301.651140 1   Th
3303.481848 1   Th
3304.238360 1   Th
3307.228257 1   Ar
3309.135852 1   Th
3317.558479 1   Th
3319.341912 1   Ar
3319.910160 1   Th
3321.450839 1   Th
3322.093322 1   Th
3322.470927 1   Th
3324.752706 1   Th
3325.120752 1   Th
3325.965805 1   XX
3326.465259 1   Th
3327.193167 1   Th
3327.712760 1   XX
3329.728397 1   Th
3330.477007 1   Th
3333.128998 1   Th
3334.604120 1   Th
3337.870357 1   Th
3338.397050 1   Th
3338.598026 1   XX
3341.740642 1   Ar
3343.618348 1   Th
3343.812927 1   Th
3346.555999 1   Th
3349.329470 1   XX
3350.923835 1   Ar
3351.228617 1   Th
3353.948473 1   Th
3354.179605 1   Th
3354.618517 1   Th
3355.106131 1   Th
3357.058119 1   Th
3357.235167 1   Th
3357.405535 1   Th
3358.601994 1   Th
3359.756883 1   Th
3360.159295 1   Th
3360.373550 1   Th
3362.676256 1   Th
3365.520271 1   Ar
3367.582229 1   Th
3371.796762 1   Th
3372.334739 1   XX
3373.844479 1   Ar
3374.581445 1   Th
3374.974894 1   Th
3376.435792 1   Ar
3376.839609 1   Th
3378.573379 1   Th
3380.859541 1   Th
3384.992426 1   Th
3385.531607 1   Th
3386.500660 1   Th
3387.920553 1   Th
3389.037362 1   XX
3389.640541 1   Th
3390.368122 1   XX
3392.034957 1   Th
3393.230819 1   Th
3393.421494 1   Th
3394.797014 1   Th
3395.112389 1   Th
3395.986186 1   XX
3397.516114 1   Th
3398.544852 1   Th
3402.026404 1   Th
3405.558381 1   Th
3407.830184 1   Th
3408.749883 1   Th
3409.269918 1   Th
3411.783744 1   Th
3417.125544 1   Th
3417.497794 1   Th
3419.173303 1   Th
3423.129072 1   XX
3423.989681 1   Th
3425.943588 1   Th
3426.742667 1   XX
3427.993575 1   Th
3428.999181 1   Th
3429.389270 1   Th
3430.415118 1   Ar
3431.810465 1   Th
3432.583087 1   Ar
3433.555396 1   Ni
3433.998848 1   Th
3435.193443 1   XX
3435.977129 1   Th
3437.024211 1   Th
3437.307095 1   Th
3438.950331 1   Th
3439.398751 1   Th
3439.711804 1   Th
3440.605808 1   Fe
3441.364697 1   Th
3442.579014 1   Th
3445.217278 1   Th
3445.744152 1   Th
3446.547456 1   Th
3448.948718 1   Th
3449.287076 1   Th
3449.644796 1   Th
3450.947518 1   Th
3451.702372 1   Th
3452.682073 1   Th
3454.094963 1   Ar
3455.272624 1   Th
3455.613072 1   Th
3456.441731 1   Th
3457.069153 1   Th
3457.433993 1   XX
3461.018679 1   Th
3461.217251 1   Th
3462.850565 1   Th
3463.719710 1   Th
3464.126777 1   Ar
3466.332950 1   Ar
3466.896805 1   Th
3468.219799 1   Th
3469.345454 1   Th
3469.920804 1   Th
3470.567491 1   Th
3471.596494 1   Ar
3471.959330 1   Th
3473.029075 1   Th
3473.780741 1   Th
3476.747140 1   Ar
3477.704260 1   Th
3478.463542 1   Th
3479.684721 1   Th
3480.505247 1   Ar
3481.002984 1   Th
3484.080004 1   Th
3485.472192 1   Th
3488.833855 1   Th
3489.184152 1   Th
3489.507600 1   Th
3490.872959 1   Ar
3491.243710 1   Ar
3491.535601 1   Ar
3493.518543 1   Th
3496.810716 1   Th
3497.262877 1   Th
3498.009831 1   Th
3500.842386 1   Th
3501.455948 1   Th
3505.494138 1   Th
3506.852035 1   Th
3509.777919 1   Ar
3514.387363 1   Ar
3516.354506 1   XX
3516.577158 1   Th
3516.824308 1   Th
3518.404024 1   Th
3519.993364 1   Ar
3521.059481 1   Th
3521.259918 1   Ar
3523.506150 1   Th
3523.758548 1   Th
3524.178731 1   Th
3524.536471 1   Ni
3527.000519 1   XX
3527.322379 1   Th
3528.411658 1   Th
3529.385973 1   Th
3530.514780 1   Th
3531.450561 1   Th
3535.319295 1   Ar
3537.159758 1   Th
3538.212569 1   Th
3539.322306 1   Th
3539.587276 1   Th
3541.615914 1   Th
3541.969699 1   Th
3543.146944 1   Ar
3545.595189 1   Ar
3545.843139 1   Ar
3547.917487 1   XX
3548.514041 1   Ar
3550.292441 1   Th
3551.401923 1   Th
3553.110325 1   Th
3553.377187 1   Th
3554.305517 1   Ar
3555.704633 1   Th
3556.314437 1   Th
3556.903771 1   Ar
3559.507869 1   Ar
3561.030143 1   Ar
3561.780880 1   Th
3562.191140 1   Ar
3565.029311 1   Ar
3566.371807 1   Ni
3567.263810 1   Th
3569.620438 1   Th
3569.820475 1   Th
3571.009220 1   XX
3571.573099 1   Th
3573.219647 1   Th
3576.615368 1   Ar
3577.215674 1   Th
3577.599396 1   Th
3578.355625 1   Ar
3578.686375 1   Cr
3578.949763 1   Th
3581.608015 1   Ar
3582.009135 1   Th
3582.354424 1   Ar
3584.175638 1   Th
3588.440232 1   Ar
3589.360309 1   Th
3589.749503 1   Th
3589.994165 1   Th
3591.452414 1   Th
3592.073770 1   XX
3594.111161 1   Th
3594.985616 1   Th
3595.617736 1   Th
3597.495522 1   XX
