  3080.8220 3 Cd 
  3082.5930 3 Cd
  3125.67   3 Hg 
  3129.4400 3 HgIblend
  3131.70   1 Hg 
  3133.1670 3 Cd 
  3188.6648 1 Cd I
  3261.055  1 Cd 
#  3129.0260 1 Cd I
#  3187.7433 1 Cd I
#  3261.0727 5 Cd I
  3403.6686 1 Cd I
  3464.1404 1 Cd I
  3466.5676 1 Cd I
  3520.5005 1 Cd I
  3545.5804 1 Cd I
  3559.5102 1 Cd I
  3610.5231 1 Cd I
  3650.1621 5 Hg I
  3718.2101 0 Cd I
  3729.2905 1 Cd I
  3737.8900 1 Cd I
  3780.8403 1 Cd I
  3850.5702 1 Cd I
  3888.6459 1 He I
  3928.6201 1 Cd I
  3964.7269 1 Cd I
  4026.1890 1 He I
#  4044.4179 1 Cd I
  4046.5599 5 Hg I
  4072.1999 1 Cd I
  4077.8290 1 Hg I
  4131.7299 0 Cd I
  4158.5896 1 Cd I
  4259.3604 1 Cd I
  4277.5499 1 Cd I
  4300.3998 0 Cd I
  4358.3201 1 Hg I
  4426.0097 1 Cd I
  4471.4767 1 Cd I
  4510.7324 1 Cd I
  4545.0797 1 Cd I
  4579.3895 1 Cd I 
  4657.9394 0 Cd I
  4678.1391 1 Cd I
  4713.1425 1 Cd I
  4764.8895 1 Cd I
  4799.8943 1 Cd I
  4806.0695 1 Cd I
  4879.8989 1 Cd I
  4921.9282 1 He I
  4965.1194 1 Cd I
  5015.6737 1 He I
  5085.7844 1 Cd I
  5187.7450 1 Cd I
  5221.2692 1 Cd I
  5400.5605 1 Cd I
  5460.6914 1 Hg I
  5495.8709 1 Cd I
  5572.5461 1 Cd I
  5606.7303 1 Cd I
  5650.7014 0 Cd I
  5748.2973 1 Cd I
  5764.4165 1 Cd I
  5769.5294 5 Hg I
  5790.5887 1 Hg I
  5852.4856 1 Cd I
  5875.6161 1 He I
  5944.8318 1 Cd I
  6029.9950 1 Cd I
  6074.3356 1 Cd I
  6096.1607 1 Cd I
  6143.0602 1 Cd I
  6163.5913 1 Cd I
  6217.2790 1 Cd I
  6266.4923 1 Cd I
