# units Angstroms (air)
2968.687  1 Ar # (added by JFH from ThAr list)
3021.5003 1 Hg # (added by JFH from DEIMOS list)
3125.67   2 Hg
3131.70   1 Hg
3252.524  1 Cd 
3261.055  1 Cd 
#3345.04   1 ZnI/HgIblend
3403.652  1 Cd 
#3417.9035 2 NeI # (added by JFH)
3466.85   1 CdIblend
3472.5711 2 NeI # (added by JFH)
3499.952  2 Cd
3515.1900 2 NeI # (added by JFH)
3520.5005 2 Cd  # (added by JFH)
3593.5263 2 NeI # (added by JFH)
3600.1691 2 NeI # (added by JFH)
3611.01   1 CdIblend 
#3650.153  1 Hg
#3654.84   1 Hg
3650.87   1 HgIblend
3663.279  1 Hg
3948.9789 2 Ar
4046.563  1 Hg
4077.831  1 Hg
4158.5896 2 Cd # (added by JFH)
4164.1795 2 Ar # (added by JFH)
4181.8836 2 Ar # (added by JFH)
4190.7126 2 Ar # (added by JFH)
4200.6745 2 Ar	
4358.327  1 Hg
4412.989  1 Cd 
4662.3520   1    Cd
4678.1490   1    Cd
4799.9120   1    Cd
4806.0695   2    Cd
4916.0680   2    Hg
5085.8220   1    Cd
5154.6600   1    Cd
5460.7350   1    Hg
5769.5980   1    Hg
5790.6630   1    Hg
5852.4880   1    Ne
5881.8950   1    Ne
5944.8340   1    Ne
5975.5340   1    Ne
6029.9970   1    Ne
6074.3370   1    Ne
6096.1630   1    Ne
6099.1420   2    Cd
6111.4900   2    Cd
6128.4500   1    Ne
6143.0620   1    Ne
6163.5940   1    Ne
6217.2810   1    Ne
6266.4950   1    Ne
6304.7890   1    Ne
6325.1660   2    Cd
6330.0130   2    Cd
6334.4280   1    Ne
6382.9910   1    Ne
6402.2460   1    Ne
6438.4700   1    Cd
6506.5280   1    Ne
6532.8820   1    Ne
6598.9530   1    Ne
6652.0920   2    Ne
6678.2760   1    Ne
6717.0430   1    Ne
6778.1160   2    Cd
6929.4670   1    Ne
6965.4300   1    Ar
7024.0500   2    Ne
7032.4130   1    Ne
7067.2170   1    Ar
7147.0410   1    Ar
7173.9380   1    Ne
7245.1660   1    Ne
7272.9350   1    Ar
7345.6700   1    Cd
7383.9790   1    Ar
7438.8980   1    Ne
7488.8710   1    Ne
7503.8680   1    Ar
7514.6510   2    Ar
7535.7740   2    Ne
7544.0440   2    Ne
7635.1060   1    Ar
7723.7600   1    Ar
7943.1800   2    Ne
7948.1750   1    Ar
