# FEAR - FeAr Line List 3000A-10,000A by D. Willmarth
# Modified by ALS on 7-20-00 to include only lines seen in ucirob spectrograph
# undated by ALS 11-1-00
# units Angstroms
3803.19   1 Ar II
3820.428  1 Fe I
3824.444  1 Fe I
3834.46   1 Fe I
3850.57   1 Ar II
3856.373  1 Fe I
3859.9114 1 Fe I
3868.5284 1 Ar II
3878.575  1 Fe I
3886.2820 1 Fe I
3891.97   1 Ar II
3895.658  1 Fe I
3899.709  1 Fe I
3925.71   1 Ar II
3928.62   1 Ar II
3932.55   1 Ar II
3946.10   1 Ar II
3948.979  1 Ar I
3968.36   1 Ar II
3974.62   1 Ar II(3974.48+3974.76)
3979.3559 1 Ar II
3994.7918 1 Ar II
4013.87   1 Ar II
4033.124  1 Fe I
4042.91   1 Ar II
4044.4182 1 Ar I
4045.815  1 Fe I
4052.9208 1 Ar II
4063.597  1 Fe I
4072.01   1 Ar II
4080.67   1 Ar II
4082.40   1 Ar II
4097.15   1 Ar II
4103.9121 1 Ar II
4131.7235 1 Ar II
4143.871  1 Fe I
4158.5905 1 Ar I
4164.18   1 Ar I
4181.8838 1 Ar I
4190.86   1 Ar I (4190.71+4191.02)
4198.3170 1 Ar I
4200.6751 1 Ar I
4222.67   1 Ar II
4227.02   1 Ar II
4228.18   1 Ar II
4237.2198 1 Ar II
4251.1852 1 Ar I
4259.3619 1 Ar I
4266.29   1 Ar I
4272.1591 1 Ar I
4277.5282 1 Ar II
4282.90   1 Ar II
4300.1008 1 Ar I
4309.18   1 Ar II (4309.11+4309.25)
4325.765  1 Fe I
4331.25   1 Ar II
4333.5612 1 Ar I
4335.3380 1 Ar I
4337.10   1 Ar II
4345.168  1 Ar I
4348.0640 1 Ar II
4352.23   1 Ar II
4362.07   1 Ar II
4367.87   1 Ar II
4370.76   1 Ar II
4375.96   1 Ar II
4379.74   1 Ar II
4383.547  1 Fe I
4385.08   1 Ar II
4400.9863 1 Ar II
4404.752  1 Fe I
4420.90   1 Ar II
4426.0011 1 Ar II
4430.1890 1 Ar II
4433.83   1 Ar II
4439.54   1 Ar II
4448.88   1 Ar II
4474.7594 1 Ar II
4481.8107 1 Ar II
4489.7389 1 Fe I
4490.99   1 Ar II
4510.7332 1 Ar I
4522.3238 1 Ar I
4530.57   1 Ar II
4545.0519 1 Ar II
4579.3495 1 Ar II
4589.8978 1 Ar II
4596.0970 1 Ar I
4598.77   1 Ar II
4609.5673 1 Ar II
4628.4410 1 Ar I
4637.2328 1 Ar II
4657.9012 1 Ar II
4702.3164 1 Ar I
4721.62   1 Ar II
4726.8683 1 Ar II
4732.08   1 Ar II
4735.9058 1 Ar II
4764.8646 1 Ar II
4792.12   1 Ar II
4806.0205 1 Ar II
4847.8095 1 Ar II
4865.96   1 Ar II
4876.19   1 Fe I
4879.8635 1 Ar II
4889.0422 1 Ar II
4904.75   1 Ar II
4933.2091 1 Ar II
4957.5966 1 Fe I
4965.0795 1 Ar II
4972.1597 1 Ar II
5009.3344 1 Ar II
5017.1628 1 Ar II
5062.0371 1 Ar II
5090.4951 1 Ar II
5110.3848 1 Fe I
5125.7656 1 Ar II
5141.7827 1 Ar II
5162.2846 1 Ar I
5187.7462 1 Ar I
5221.2710 1 Ar I
5227.1699 1 Fe I
5269.5366 1 Fe I
5328.0376 1 Fe I
5371.4893 1 Fe I
5397.1270 1 Fe I
5421.3516 1 Ar I
5495.8740 1 Ar I
5558.7021 1 Ar I
5577.6846 1 Ar II
5606.7329 1 Ar I
5650.7041 1 Ar I
5739.5195 1 Ar I
5802.0796 1 Ar I
5834.2632 1 Ar I
5860.3101 1 Ar I
5882.6240 1 Ar I
5888.5840 1 Ar I
5912.0854 1 Ar I
5928.8130 1 Ar I
6032.1274 1 Ar I
6043.2231 1 Ar I
6052.7227 1 Ar I
6059.3726 1 Ar I
6105.6353 1 Ar I
6114.9233 1 Ar II
6155.2383 1 Ar I
6172.2778 1 Fe I
6213.5029 1 Ar I
6215.9385 1 Fe I
6243.1201 1 Fe I
6266.495  1 Ne I
6296.8721 1 Ar I
6307.6572 1 Ar II
6334.427  1 Ne I
6369.5747 1 Ar I
6384.7168 1 Fe I
6402.2455 1 Ne I
6416.3071 1 Ar II
6466.5526 1 Ar II
6483.0825 1 Ar II
6538.1120 1 Ar I
6604.8534 1 Ar I
6638.2207 1 Ar II
6643.6976 1 Ar II
6660.6761 1 Ar I
6664.0510 1 Ar I 
6666.3588 1 Ar II
6677.2817 1 Ar I
6684.2929 1 Ar II
6719.2184 1 Ar I
6752.8335 1 Ar I
6766.6117 1 Ar I
6871.2891 1 Ar I
6965.4307 1 Ar I
7030.2515 1 Ar I
7067.2183 1 Ar I
7147.0415 1 Ar I
7206.9805 1 Ar I
7272.9360 1 Ar I
7383.9805 1 Ar I
7503.8691 1 Ar I
7635.1060 1 Ar I
7723.9831 1 Ar I (blend 7723.7597+7724.2064)
7948.1763 1 Ar I
8014.7856 1 Ar I
8115.3110 1 Ar I
