# This standard spectrum was made by Joe Hennawi by combining the
# Massey P., Strobel K., Barnes J.V., Anderson E. Astrophys. J. 328, 315 (1988)
# measurements with the Hamuy standards on the ESO webpage, i.e. 
# (Hamuy et al., PASP, 104, 533, 1992); 
#the second to wavelengths from 6000 to 10500A (Hamuy et al., PASP, 
# 106, 566, 1994). 
#http://www.eso.org/sci/observing/tools/standards/spectra/hamuystandards.html
# Note that the Massey data were presented in the Hayes-Latham system 
# system which I converted assuming they were AB mags. This probably 
# results in a small shift, but it matches on very well to the Hamuy data. 
#      LAM            FLAM (1d-16)
      3128.78       2594.6033
      3130.86       2532.1733
      3132.94       2665.1146
      3135.02       2857.1913
      3137.10       2979.6332
      3139.19       3067.5155
      3141.27       3172.5688
      3143.35       3215.4046
      3145.43       3178.7829
      3147.51       3085.2204
      3149.59       2931.6494
      3151.67       2938.5844
      3153.76       3067.3608
      3155.84       3163.6738
      3157.92       3293.2076
      3160.00       3353.1021
      3162.08       3305.7873
      3164.16       3141.2563
      3166.24       3346.0473
      3168.32       3366.3641
      3170.41       3374.3564
      3172.49       3369.9298
      3174.57       3462.9903
      3176.65       3591.5486
      3178.73       3623.3737
      3180.81       3595.3777
      3182.89       3627.2395
      3184.98       3669.5131
      3187.06       3685.0285
      3189.14       3731.4179
      3191.22       3873.5318
      3193.30       3954.9490
      3195.38       3975.3456
      3197.46       3955.5731
      3199.55       3921.4264
      3201.63       3912.7261
      3203.71       3976.6285
      3205.79       4056.4931
      3207.87       4126.5475
      3209.95       4083.4171
      3212.03       4011.0720
      3214.11       3983.8042
      3216.20       3971.3279
      3218.28       3904.5749
      3220.36       3741.2111
      3222.44       3681.7225
      3224.52       3714.4123
      3226.60       3831.1537
      3228.68       3977.1259
      3230.77       4132.4698
      3232.85       4207.7533
      3234.93       4159.9806
      3237.01       4108.9667
      3239.09       4122.6300
      3241.17       4182.3128
      3243.25       4254.6000
      3245.34       4160.0788
      3247.42       4030.3677
      3249.50       4032.6275
      3251.58       4136.4903
      3253.66       4192.5297
      3255.74       4206.4986
      3257.82       4220.5174
      3259.90       4289.5428
      3261.99       4448.9375
      3264.07       4546.7654
      3266.15       4659.6017
      3268.23       4636.5565
      3270.31       4405.9771
      3272.39       4156.1375
      3274.47       4015.4799
      3276.56       3890.3219
      3278.64       3800.4404
      3280.72       3880.4561
      3282.80       4013.5802
      3284.88       4117.0062
      3286.96       4157.4880
      3289.04       4110.3737
      3291.13       4189.2077
      3293.21       4317.0050
      3295.29       4367.5083
      3297.37       4262.7069
      3299.45       4152.7637
      3301.53       4128.4760
      3303.61       4104.3307
      3305.69       4061.5818
      3307.78       4034.1186
      3309.86       4021.6282
      3311.94       4061.2146
      3314.02       4131.5258
      3316.10       4199.1859
      3318.18       4213.2784
      3320.26       4180.9551
      3322.35       4129.8206
      3324.43       4124.6511
      3326.51       4176.7963
      3328.59       4256.9657
      3330.67       4350.6791
      3332.75       4438.2799
      3334.83       4412.3743
      3336.92       4263.1471
      3339.00       4157.0834
      3341.08       4155.7333
      3343.16       4302.3575
      3345.24       4308.8963
      3347.32       4291.6636
      3349.40       4286.3312
      3351.48       4316.6423
      3353.57       4283.5797
      3355.65       4301.9770
      3357.73       4296.6456
      3359.81       4236.3452
      3361.89       4207.7820
      3363.97       4179.4181
      3366.05       4162.7317
      3368.14       4153.7599
      3370.22       4167.7806
      3372.30       4113.0949
      3374.38       4176.6941
      3376.46       4272.6481
      3378.54       4310.8386
      3380.62       4293.6547
      3382.71       4324.0669
      3384.79       4294.9483
      3386.87       4219.1421
      3388.95       4167.6425
      3391.03       4189.4512
      3393.11       4215.2600
      3395.19       4229.5260
      3397.27       4158.7167
      3399.36       4219.1741
      3401.44       4217.8934
      3403.52       4181.8121
      3405.60       4126.9884
      3407.68       4091.6910
      3409.76       4038.0556
      3411.84       3977.7919
      3413.93       3932.8964
      3416.01       3964.4526
      3418.09       3970.5830
      3420.17       3951.1655
      3422.25       3888.6325
      3424.33       3887.4872
      3426.41       3954.9499
      3428.50       3957.4319
      3430.58       3927.2300
      3432.66       3936.9488
      3434.74       3928.5576
      3436.82       3859.2868
      3438.90       3791.2371
      3440.98       3769.2537
      3443.06       3870.1734
      3445.15       3908.4585
      3447.23       3896.5532
      3449.31       3856.1744
      3451.39       3930.3610
      3453.47       3991.2505
      3455.55       4038.1800
      3457.63       4070.6405
      3459.72       4126.1015
      3461.80       4140.1647
      3463.88       4116.1907
      3465.96       4077.3108
      3468.04       4068.6680
      3470.12       3993.2916
      3472.20       4006.9163
      3474.29       4005.8065
      3476.37       3927.9825
      3478.45       3830.4489
      3480.53       3861.2702
      3482.61       3874.4581
      3484.69       3841.4208
      3486.77       3756.4128
      3488.85       3738.1362
      3490.94       3750.9112
      3493.02       3749.8955
      3495.10       3776.6063
      3497.18       3817.5508
      3499.26       3841.2072
      3501.34       3850.8052
      3503.42       3867.5435
      3505.51       3891.5221
      3507.59       3872.6094
      3509.67       3839.6233
      3511.75       3835.0736
      3513.83       3876.6702
      3515.91       3907.9103
      3517.99       3957.5890
      3520.08       4004.2110
      3522.16       3973.7776
      3524.24       3860.9143
      3526.32       3806.9512
      3528.40       3820.0131
      3530.48       3890.0269
      3532.56       3885.4439
      3534.64       3859.4837
      3536.73       3894.1960
      3538.81       3980.2191
      3540.89       4023.4267
      3542.97       4026.1099
      3545.05       4006.5969
      3547.13       3957.9091
      3549.21       3877.5399
      3551.30       3791.8153
      3553.38       3769.9729
      3555.46       3817.9420
      3557.54       3852.3105
      3559.62       3840.7261
