# This standard spectrum was made by Joe Hennawi by combining the
# http://www.ing.iac.es/Astronomy/observing/manuals/html_manuals/tech_notes/tn065-100/w1346a.oke spectrum which extends to 10640
# with the higher resolution spectrum on NAOJ website
# http://www.naoj.org/Observing/Instruments/FOCAS/Detail/UsersGuide/Observing/StandardStar/Spec/PLOTDATA/data/wolf1346.dat
# both of these files were in AB magnitudes. 
#      LAM            FLAM (1d-16)
      3125.97       2623.3174
      3128.05       2668.5308
      3130.14       2630.8389
      3132.22       2586.5242
      3134.30       2597.4040
      3136.38       2644.6160
      3138.47       2720.1069
      3140.55       2746.6916
      3142.63       2707.9100
      3144.71       2714.3059
      3146.79       2828.0300
      3148.88       2887.4172
      3150.96       2872.9964
      3153.04       2895.7519
      3155.12       2921.3809
      3157.21       2922.9076
      3159.29       2929.8296
      3161.37       3005.1774
      3163.45       3131.1077
      3165.53       3199.8290
      3167.62       3186.8048
      3169.70       3078.8217
      3171.78       2941.8082
      3173.86       2894.9700
      3175.95       2864.6706
      3178.03       2819.0647
      3180.11       2820.5651
      3182.19       2853.4347
      3184.27       2908.0341
      3186.36       2985.6019
      3188.44       3110.7446
      3190.52       3141.2125
      3192.60       3137.1164
      3194.69       3115.7608
      3196.77       3077.5031
      3198.85       3036.9153
      3200.93       3052.5828
      3203.02       3088.1798
      3205.10       3078.4930
      3207.18       2982.4561
      3209.26       2929.6142
      3211.34       2931.2105
      3213.43       2995.5999
      3215.51       2972.4954
      3217.59       2874.4777
      3219.67       2813.1759
      3221.76       2838.1515
      3223.84       2948.9954
      3225.92       2961.5118
      3228.00       2925.1824
      3230.08       2910.6698
      3232.17       3094.8038
      3234.25       3056.8469
      3236.33       2999.9544
      3238.41       2974.1016
      3240.50       3019.9358
      3242.58       3004.9657
      3244.66       2938.2045
      3246.74       2888.8480
      3248.83       2930.6764
      3250.91       2862.9336
      3252.99       2809.6685
      3255.07       2785.4767
      3257.15       2792.1833
      3259.24       2732.6794
      3261.32       2714.1518
      3263.40       2756.0025
      3265.48       2837.4326
      3267.57       2818.2014
      3269.65       2793.9495
      3271.73       2787.8268
      3273.81       2784.2820
      3275.90       2719.9492
      3277.98       2652.2158
      3280.06       2668.4403
      3282.14       2742.2431
      3284.22       2807.7288
      3286.31       2858.9369
      3288.39       2871.1396
      3290.47       2859.5965
      3292.55       2842.8583
      3294.64       2862.8989
      3296.72       2843.5273
      3298.80       2834.7099
      3300.88       2865.2379
      3302.96       2906.7857
      3305.05       2919.2108
      3307.13       2899.4695
      3309.21       2861.3542
