*EG131
*
*  New std based on Hamuy stds by Bessell jan98
set .z.units = "AB magnitudes"
set .z.label = "Flux"
set .table.bandwidth = 50
*
3050   12.384
3100   12.366
3150   12.349
3200   12.333
3250   12.318
3300   12.307
3350   12.287
3400   12.269
3450   12.260
3500   12.248
3550   12.235
3600   12.223
3650   12.212
3700   12.207
3750   12.193
3800   12.187
3850   12.184
3900   12.178
3950   12.176
4000   12.173
4050   12.174
4100   12.175
4150   12.175
4200   12.177
4250   12.179
4300   12.180
4350   12.184
4400   12.188
4450   12.193
4500   12.195
4550   12.198
4600   12.200
4650   12.203
4700   12.208
4750   12.208
4800   12.210
4850   12.213
4900   12.216
4950   12.219
5000   12.223
5050   12.226
5100   12.230
5150   12.234
5200   12.239
5250   12.243
5300   12.247
5350   12.252
5400   12.257
5450   12.261
5500   12.267
5550   12.271
5600   12.277
5650   12.282
5700   12.288
5750   12.293
5800   12.299
5850   12.304
5900   12.310
5950   12.316
6000   12.322
6050   12.328
6100   12.334
6150   12.340
6200   12.347
6250   12.357
6300   12.364
6350   12.371
6400   12.378
6450   12.384
6500   12.391
6550   12.398
6600   12.405
6650   12.411
6700   12.419
6750   12.425
6800   12.433
6850   12.439
6900   12.446
6950   12.453
7000   12.461
7050   12.467
7100   12.475
7150   12.481
7200   12.489
7250   12.496
7300   12.503
7350   12.510
7400   12.518
7450   12.525
7500   12.532
7550   12.539
7600   12.547
7650   12.554
7700   12.562
7750   12.569
7800   12.577
7850   12.584
7900   12.592
7950   12.599
8000   12.607
8050   12.614
8100   12.622
8150   12.630
8200   12.638
8250   12.645
8300   12.653
8350   12.661
8400   12.669
8450   12.677
8500   12.685
8550   12.692
8600   12.701
8650   12.709
8700   12.717
8750   12.725
8800   12.733
8850   12.741
8900   12.750
8950   12.758
9000   12.767
9050   12.775
9100   12.784
9150   12.792
9200   12.801
9250   12.809
9300   12.818
9350   12.827
9400   12.836
9450   12.844
9500   12.847
9550   12.854
9600   12.862
9650   12.869
9700   12.876
9750   12.883
9800   12.890
9850   12.897
9900   12.904
9950   12.911
10000  12.919
10050  12.925
10100  12.933
10150  12.940
10200  12.947
10250  12.954







