87
  912.00  2   Ly break
 1026.00  1   Ly     b
 1035.00  1    O    VI
 1190.42  2   Si    II
 1193.28  2   Si    II
 1199.90  2    N     I
 1206.51  2   Si   III
 1216.00  1   Ly     a
 1238.81  2    N     V
 1242.80  2    N     V
 1250.59  2    S    II
 1253.81  2    S    II
 1255.00  2   Fe     V
 1259.52  2   Si    II
 1260.42  2   Si    II
 1302.08  2    O     I
 1304.40  2   Si    II
 1334.53  2    C    II
 1335.70  2    C   II*
 1371.00  2    O     V
 1393.76  2   Si    IV
 1402.77  2   Si    IV
 1428.00  2    C   III
 1526.72  2   Si    II
 1548.20  2    C    IV
 1550.77  2    C    IV
 1608.45  2   Fe    II
 1640.00  1   He    II
 1670.91  2   Al    II
 1719.00  1    N    IV
 1854.72  2   Al   III
 1862.78  2   Al   III
 2796.82  2   Mg    II
 2803.83  2   Mg    II
 3203.93  1   He    II
 3750.57  1   Fe     I
 3798.98  2    H    10
 3836.49  2    H     9
 3890.00  2    H     8
 3934.79  2   Ca  II K
 3969.61  2   Ca  II H
 3971.19  1    H     e
 4027.14  1   He     I
 4102.90  2    H     d
 4227.89  2   Ca     I
 4341.69  2    H     g
 4384.78  2   Fe     I
 4456.25  2   Ca     I
 4669.31  2   Fe     I
 4687.31  1   He    II
 4862.69  1    H     b
 5168.74  2   Mg     I
 5174.14  2   Mg     I
 5185.04  2   Mg     I
 5209.45  2   Mg     H
 5270.47  2   Ca     I
 5271.75  2   Fe     I
 5332.98  2   Fe     I
 5402.90  2   Fe     I
 5412.50  1   He    II
 5877.28  1   He     I
 5891.61  2   Na     I
 5894.13  2   Na     I
 5897.57  2   Na     I
 6564.63  1    H     a
 6678.0   1    He    I
 7065.00  1    H     I
 7773.48  1   Fe    II
 8239.26  1   He    II
 8450.36  1    CaT  II
 8502.49  1   PH    16
 8544.44  1    CaT  II
 8545.38  1   PH    15
 8598.39  1   PH    14
 8664.52  1    CaT  II
 8665.02  1   PH    13
 8750.46  1   PH    12
 8865.22  1   PH    11
 9017.39  1   PH    10
 9231.55  1   PH     9
 9548.59  1   PH     8
10052.13  1   PH     7
10122.77  1   He    II
10941.09  1   PH     g
12821.59  1   PH     b
18756.13  1   PH     a
21661.20  1   BH     g
